"","축제명","축제시작일자","축제종료일자","주소","LON","LAT","gigan","bigo","mm","yy","day_week"
"1","제13회 영동포도축제",2017-08-24,2017-08-27,"충청북도",36.1642048,127.7819752,4,"50일미만",8,2017,"목"
"5","제22회 과천축제",2018-09-13,2018-09-16,"경기도",37.4279091,126.9895045,4,"50일미만",9,2018,"목"
"6","제11회 마포나루새우젓축제",2018-10-19,2018-10-21,"서울특별시",37.5642503,126.901951,3,"50일미만",10,2018,"금"
"7","함창명주페스티벌",2018-09-07,2018-09-09,"경상북도",36.576525,128.160039,3,"50일미만",9,2018,"금"
"8","상주 이야기축제",2018-10-12,2018-10-14,"경상북도",36.410959,128.158961,3,"50일미만",10,2018,"금"
"9","정의공주와 함께 하는 도봉 한글잔치",2015-10-09,2015-10-09,"서울특별시",37.66667,127.03375,1,"1일",10,2015,"금"
"10","정월대보름 큰잔치",2015-03-05,2015-03-05,"서울특별시",37.6707774,127.0483768,1,"1일",3,2015,"목"
"11","도봉서원 춘·추향제",2015-04-28,2015-10-22,"서울특별시",37.6853826,127.0325089,178,"50일이상",4,2015,"화"
"12","도봉산 산사축제",2015-10-02,2015-10-03,"서울특별시",37.6864694,127.033968,2,"50일미만",10,2015,"금"
"13","도봉구민 건강축제",2015-10-16,2015-10-17,"서울특별시",37.6686287,127.0470496,2,"50일미만",10,2015,"금"
"14","도봉 과학축전",2015-10-23,2015-10-28,"서울특별시",37.6686287,127.0470496,6,"50일미만",10,2015,"금"
"15","도봉구 등축제",2015-09-11,2015-09-30,"서울특별시",37.6617028,127.0382005,20,"50일미만",9,2015,"금"
"16","정의공주와 함께 하는 도봉 한글잔치",2015-10-09,2015-10-09,"서울특별시",37.66667,127.03375,1,"1일",10,2015,"금"
"17","정월대보름 큰잔치",2015-03-05,2015-03-05,"서울특별시",37.6707774,127.0483768,1,"1일",3,2015,"목"
"18","도봉서원 춘·추향제",2015-04-28,2015-10-22,"서울특별시",37.6853826,127.0325089,178,"50일이상",4,2015,"화"
"19","도봉산 산사축제",2015-10-02,2015-10-03,"서울특별시",37.6864694,127.033968,2,"50일미만",10,2015,"금"
"20","도봉구민 건강축제",2015-10-16,2015-10-17,"서울특별시",37.6686287,127.0470496,2,"50일미만",10,2015,"금"
"21","도봉 과학축전",2015-10-23,2015-10-28,"서울특별시",37.6686287,127.0470496,6,"50일미만",10,2015,"금"
"22","도봉구 등축제",2015-09-11,2015-09-30,"서울특별시",37.6617028,127.0382005,20,"50일미만",9,2015,"금"
"23","청원생명축제",2018-10-05,2018-10-14,"충청북도",36.7330755,127.407385,10,"50일미만",10,2018,"금"
"24","세종대왕과 초정약수 축제",2018-05-25,2018-05-27,"충청북도",36.721607,127.601269,3,"50일미만",5,2018,"금"
"25","홍길동축제",2017-04-22,2017-04-30,"전라남도",35.320062,126.727118,9,"50일미만",4,2017,"토"
"26","백양단풍축제",2017-10-27,2017-10-29,"전라남도",35.440252,126.883232,3,"50일미만",10,2017,"금"
"27","고로쇠축제",2017-03-18,2017-03-19,"전라남도",35.440252,126.883232,2,"50일미만",3,2017,"토"
"28","산소축제",2017-09-16,2017-09-17,"전라남도",35.372009,126.746613,2,"50일미만",9,2017,"토"
"29","단감축제",2017-11-04,2017-11-04,"전라남도",35.252498,126.771304,1,"1일",11,2017,"토"
"30","장성가을 노란꽃잔치",2017-10-13,2017-10-29,"전라남도",35.182511,126.463925,17,"50일미만",10,2017,"금"
"31","2020 예천세계곤충엑스포",2020-05-01,2020-05-17,"경상북도",36.658337,128.463487,17,"50일미만",5,2020,"금"
"32","부여서동연꽃축제",2018-07-06,2018-07-15,"충청남도",36.27145891,126.9136908,10,"50일미만",7,2018,"금"
"33","백제문화제",2018-09-14,2018-09-22,"충청남도",36.27902473,126.9128811,9,"50일미만",9,2018,"금"
"34","달맞이축제",2019-02-19,2019-02-19,"경상북도",37.48430421,130.9056438,1,"1일",2,2019,"화"
"35","울릉해변가요제",2019-08-02,2019-08-03,"경상북도",37.48430421,130.9056438,2,"50일미만",8,2019,"금"
"36","오징어축제",2019-08-05,2019-08-07,"경상북도",37.48430421,130.9056438,3,"50일미만",8,2019,"월"
"38","제37회 고성군민의 날 및 수성문화제",2019-09-23,2019-09-25,"강원도",38.375898,128.4649304,3,"50일미만",9,2019,"월"
"39","제21회 고성통일명태축제",2019-10-17,2019-10-20,"강원도",38.43974397,128.4541653,4,"50일미만",10,2019,"목"
"40","욕지 섬 문화축제",2019-10-11,2019-10-12,"경상남도",34.63336365,128.2650885,2,"50일미만",10,2019,"금"
"41","사량도 옥녀봉 축제",2019-10-25,2019-10-26,"경상남도",34.84549681,128.2197953,2,"50일미만",10,2019,"금"
"45","울산대공원 장미축제",2019-05-22,2019-05-26,"울산광역시",35.530972,129.2939697,5,"50일미만",5,2019,"수"
"46","울산고래축제",2019-06-07,2019-06-09,"울산광역시",35.50439928,129.387293,3,"50일미만",6,2019,"금"
"47","처용문화제",2019-10-18,2019-10-20,"울산광역시",35.54289852,129.327076,3,"50일미만",10,2019,"금"
"49","정서진 해넘이 축제",2018-12-31,2018-12-31,"인천광역시",37.55843765,126.6074637,1,"1일",12,2018,"월"
"50","2019 정읍벚꽃축제",2019-03-30,2019-04-07,"전라북도",35.561248,126.8557305,9,"50일미만",3,2019,"토"
"51","정읍드론페스티벌",2019-05-04,2019-05-05,"전라북도",35.5255969,126.8961462,2,"50일미만",5,2019,"토"
"52","내장산캠핑대회",2019-05-17,2019-05-19,"전라북도",35.5255969,126.8961462,3,"50일미만",5,2019,"금"
"53","제14회 정읍 평생학습축제 및 제6회 주민자치 프로그램 발표회",2019-10-19,2019-10-20,"전라북도",35.57039929,126.8489005,2,"50일미만",10,2019,"토"
"54","제30회 정읍사문화제",2019-09-28,2019-09-29,"전라북도",35.55073015,126.8615763,2,"50일미만",9,2019,"토"
"55","제14회 정읍 구절초꽃축제",2019-10-05,2019-10-20,"전라북도",35.55427272,127.0188952,16,"50일미만",10,2019,"토"
"56","제52회 황토현동학농민혁명기념제",2019-05-11,2019-05-12,"전라북도",35.63130705,126.8313917,2,"50일미만",5,2019,"토"
"57","의정부가족문화대축제",2019-05-04,2019-05-04,"경기도",37.738089,127.0338356,1,"1일",5,2019,"토"
"58","2019 하하페스티벌",2019-05-26,2019-05-26,"경기도",37.737579,127.036375,1,"1일",5,2019,"일"
"59","제9회 의정부시장기대축전 개회식",2019-03-31,2019-03-31,"경기도",37.76001299,127.0279671,1,"1일",3,2019,"일"
"60","2019년 한마음 건강걷기대회",2019-04-13,2019-04-13,"경기도",37.726824,127.052208,1,"1일",4,2019,"토"
"61","제7회 어울림 등반대회",2019-04-27,2019-04-27,"경기도",37.739235,127.032021,1,"1일",4,2019,"토"
"62","제26회 의정부시 단오제 씨름왕 선발대회",2019-05-25,2019-05-25,"경기도",37.7396594,127.035815,1,"1일",5,2019,"토"
"63","제6회 의정부시장배 장애인생활체육대회",2019-09-19,2019-09-19,"경기도",37.76001299,127.0279671,1,"1일",9,2019,"목"
"64","스타와 함께하는 농구 자선경기",2019-09-29,2019-09-29,"경기도",37.76001299,127.0279671,1,"1일",9,2019,"일"
"65","제13회 전국 어울림 마라톤대회",2019-10-05,2019-10-05,"경기도",37.74379518,127.0923061,1,"1일",10,2019,"토"
"66","안중근정신 찾기 자전거 대행진",2019-10-26,2019-10-26,"경기도",37.73769519,127.0474449,1,"1일",10,2019,"토"
