축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
제13회 영동포도축제,영동군 영동읍 영동군체육관 일원,2017-08-24,2017-08-27,포도축제,"(재)영동축제관광재단, (사)영동포도연합회","충청북도 영동군청, 영동군축제추진위원회","충청북도, 메이빌 농산물공동브랜드",043-745-8918,www.ydft.kr,"포도따기, 포도밟기 등 체험, 농특산물 판매, 전시, 추풍령가요제, 영동포도마라톤 대회",충청북도 영동군 영동읍 영동황간로 122,충청북도 영동군 영동읍 매천리 313,36.1642048,127.7819752,2018-02-23,4440000,충청북도 영동군
제50회 영동난계국악축제,"영동군 영동읍 영동천 일원(하상주차장, 난계사 등)",2017-09-21,2017-09-24,국악축제,"(재)영동축제관광재단, (사)난계기념사업회","충청북도 영동군청, 영동군축제추진위원회","문화체육관광부, 충청북도, 국립국악원, 한국관광공사, 한국지역진흥재단, 한국문황예술위원회",043-745-8917,www.ydft.kr,"어가행렬, 종묘제례, 국악기제작 및 연주체험, 퓨전국악공연, 영동와인축제와 연계",,충청북도 영동군 영동읍 부용리 4-1,36.1736274,127.7739921,2018-02-23,4440000,충청북도 영동군
제8회 대한민국와인축제,영동군 영동읍 영동천일원(하상주차장),2017-09-21,2017-09-24,와인축제,"(재)영동축제관광재단, 영동와인연구회","충청북도 영동군청, 영동군축제추진위원회","한국농수산식품유통공사, 충청북도, 영동군 농산물공동브랜드",043-745-8914,www.ydft.kr,"와인전시, 시음행사, 와인판매, 난계국악축제와 연계",,충청북도 영동군 영동읍 부용리 4-1,36.1736274,127.7739921,2018-02-23,4440000,충청북도 영동군
2017 영동곶감축제,영동군 영동읍 영동천일원(하상주차장),2017-12-15,2017-12-17,곶감축제,"(재)영동축제관광재단, 영동곶감연합회","충청북도 영동군청, 영동군축제추진위원회","충청북도, 메이빌 농산물공동브랜드",043-745-8918,www.ydft.kr,"곶감따기, 곶감 시식, 판매, 공연 프로그램",,충청북도 영동군 영동읍 부용리 4-1,36.1736274,127.7739921,2018-02-23,4440000,충청북도 영동군
제22회 과천축제,과천청사 잔디마당 등 과천시 일원,2018-09-13,2018-09-16,"문화예술 퍼포먼스, 시민참여 프로그램, 플리마켓 등",(재)과천축제,과천시,한국마사회 등,02-504-0945,http://www.gcfest.or.kr,"서울대공원,서울랜드,과천과학관",경기도 과천시 통영로 5 (과천시민회관 2층),경기도 과천시 중앙동 62 과천시민회관 2층,37.4279091,126.9895045,2018-07-31,3970000,경기도 과천시
제11회 마포나루새우젓축제,서울월드컵공원 평화의 광장 일원,2018-10-19,2018-10-21,"개장식, 기념식, 문화행사, 체험행사, 판매행사",마포문화원,서울특별시 마포구,"S-oil, 우리은행, KB손해보험",02-3153-8352,,,서울특별시 마포구 월드컵로 243-60(성산동),서울특별시 마포구 월드컵로 212,37.5642503,126.901951,2018-02-20,3130000,서울특별시 마포구
함창명주페스티벌,명주테마공원,2018-09-07,2018-09-09,"누에고치 체험, 천연염색 등","상주슬로시티주민협의회, 명주잠업영농조합법인",경상북도 상주시청,경상북도/상주시/한국슬로시티본부,054-531-9763,,잠사곤충사업장,경상북도 상주시 함창읍 무운로 1593,경상북도 상주시 함창읍 교촌리 199-1,36.576525,128.160039,2018-02-21,5110000,경상북도 상주시
상주 이야기축제,상주 북천시민공원일원,2018-10-12,2018-10-14,다양한 이야기 체험 및 전시 공연 등,상주시축제추진위원회,경상북도 상주시청,경상북도/상주시,054-537-7108,http://www.sangjustory.com/,,경상북도 상주시 상산로 223,경상북도 상주시 남성동 140-3,36.410959,128.158961,2018-02-21,5110000,경상북도 상주시
정의공주와 함께 하는 도봉 한글잔치,방학동 원당샘공원,2015-10-09,2015-10-09,"문화예술공연, 백일장 및 사생대회, 전통놀이체험 등",서울특별시 도봉구청,"서울특별시 도봉구청, 도봉문화원",,02-905-4026,,,서울특별시 도봉구 원당샘공원,,37.66667,127.03375,2018-05-01,3090000,서울특별시 도봉구
정월대보름 큰잔치,"도봉구청 광장, 중랑천변",2015-03-05,2015-03-05,"길놀이, 풍물놀이, 소원지 붙이기, 달집태우기, 민속놀이 체험마당,청소년 동아리 프로그램 공연 및 솟대외줄타기 공연",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구 마들로 656,,37.6707774,127.0483768,2018-05-01,3090000,서울특별시 도봉구
도봉서원 춘·추향제,도봉서원,2015-04-28,2015-10-22,"분향례, 전폐례, 초헌례, 아헌례, 종헌례, 음복례 등 제례, 추모음악회",서울특별시 도봉구청,"서울특별시 도봉구청,(사)도봉서원",,02-905-4026,,,서울특별시 도봉구 도봉산길 90,,37.6853826,127.0325089,2018-05-01,3090000,서울특별시 도봉구
도봉산 산사축제,도봉산 일대,2015-10-02,2015-10-03,"산사음악회, 영산재, 사찰음식전 등",서울특별시 도봉구청,서울특별시 도봉구청,,02-905-4026,,,서울특별시 도봉구,,37.6864694,127.033968,2018-05-01,3090000,서울특별시 도봉구
도봉구민 건강축제,"도봉구청, 중랑천변",2015-10-16,2015-10-17,"도봉구민 걷기대회, 장애체험, 가상음주체험, 유방암검진, 신장초음파 검사, 건강관련 패널전시, 건강강좌 등",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-4422,,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구
도봉 과학축전,"도봉구청 로비, 아뜨리움, 대강당, 광장 등",2015-10-23,2015-10-28,과학 체험· 전시·교육·이벤트 마당 등,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2316,http://science.dobong.go.kr,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구
도봉구 등축제,우이천,2015-09-11,2015-09-30,"둘리와 친구들과 어우러지는 범선, 동물친구들 등과 추석을 앞두고 있어 전통춤 시리즈로 구성하여 등 전시",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구,,37.6617028,127.0382005,2018-05-01,3090000,서울특별시 도봉구
정의공주와 함께 하는 도봉 한글잔치,방학동 원당샘공원,2015-10-09,2015-10-09,"문화예술공연, 백일장 및 사생대회, 전통놀이체험 등",서울특별시 도봉구청,"서울특별시 도봉구청, 도봉문화원",,02-905-4026,,,서울특별시 도봉구 원당샘공원,,37.66667,127.03375,2018-05-01,3090000,서울특별시 도봉구
정월대보름 큰잔치,"도봉구청 광장, 중랑천변",2015-03-05,2015-03-05,"길놀이, 풍물놀이, 소원지 붙이기, 달집태우기, 민속놀이 체험마당,청소년 동아리 프로그램 공연 및 솟대외줄타기 공연",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구 마들로 656,,37.6707774,127.0483768,2018-05-01,3090000,서울특별시 도봉구
도봉서원 춘·추향제,도봉서원,2015-04-28,2015-10-22,"분향례, 전폐례, 초헌례, 아헌례, 종헌례, 음복례 등 제례, 추모음악회",서울특별시 도봉구청,"서울특별시 도봉구청,(사)도봉서원",,02-905-4026,,,서울특별시 도봉구 도봉산길 90,,37.6853826,127.0325089,2018-05-01,3090000,서울특별시 도봉구
도봉산 산사축제,도봉산 일대,2015-10-02,2015-10-03,"산사음악회, 영산재, 사찰음식전 등",서울특별시 도봉구청,서울특별시 도봉구청,,02-905-4026,,,서울특별시 도봉구,,37.6864694,127.033968,2018-05-01,3090000,서울특별시 도봉구
도봉구민 건강축제,"도봉구청, 중랑천변",2015-10-16,2015-10-17,"도봉구민 걷기대회, 장애체험, 가상음주체험, 유방암검진, 신장초음파 검사, 건강관련 패널전시, 건강강좌 등",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-4422,,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구
